,Account length,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Area code_408,Area code_415,Area code_510
0,117,0,0,0,184.5,97,351.6,80,215.8,90,8.7,4,1,1.0,0.0,0.0
1,65,0,0,0,129.1,137,228.5,83,208.8,111,12.7,6,4,0.0,1.0,0.0
2,161,0,0,0,332.9,67,317.8,97,160.6,128,5.4,9,4,0.0,1.0,0.0
3,111,0,0,0,110.4,103,137.3,102,189.6,105,7.7,6,2,0.0,1.0,0.0
4,49,0,0,0,119.3,117,215.1,109,178.7,90,11.1,1,1,0.0,0.0,1.0
5,36,0,1,30,146.3,128,162.5,80,129.3,109,14.5,6,0,1.0,0.0,0.0
6,65,0,0,0,211.3,120,162.6,122,134.7,118,13.2,5,3,0.0,1.0,0.0
7,119,0,0,0,159.1,114,231.3,117,143.2,91,8.8,3,5,0.0,1.0,0.0
8,10,0,0,0,186.1,112,190.2,66,282.8,57,11.4,6,2,1.0,0.0,0.0
9,68,0,0,0,148.8,70,246.5,164,129.8,103,12.1,3,3,0.0,1.0,0.0
10,74,0,1,33,193.7,91,246.1,96,138.0,92,14.6,3,2,0.0,0.0,1.0
11,85,0,0,0,235.8,109,157.2,94,188.2,99,12.0,3,0,0.0,1.0,0.0
12,46,0,0,0,214.1,72,164.4,104,177.5,113,8.2,3,2,0.0,1.0,0.0
13,128,0,1,29,179.3,104,225.9,86,323.0,78,8.6,7,0,0.0,0.0,1.0
14,155,0,0,0,203.4,100,190.9,104,196.0,119,8.9,4,0,0.0,1.0,0.0
15,73,0,0,0,160.1,110,213.3,72,174.1,72,13.0,4,0,0.0,1.0,0.0
16,77,0,0,0,251.8,72,205.7,126,275.2,109,9.8,7,2,0.0,1.0,0.0
17,108,0,0,0,178.3,137,189.0,76,129.1,102,14.6,5,0,0.0,1.0,0.0
18,95,0,0,0,135.0,99,183.6,106,245.3,102,12.5,9,1,1.0,0.0,0.0
19,36,0,1,29,281.4,102,202.2,76,187.2,113,9.0,6,2,0.0,0.0,1.0
20,141,0,1,32,148.6,91,131.1,97,219.4,142,10.1,1,1,0.0,1.0,0.0
21,63,0,0,0,58.9,125,169.6,59,211.4,88,9.4,3,1,0.0,1.0,0.0
22,97,0,0,0,239.8,125,214.8,111,143.3,81,8.7,5,2,1.0,0.0,0.0
23,75,0,0,0,166.3,125,158.2,86,256.7,80,6.1,5,1,1.0,0.0,0.0
24,127,0,0,0,146.7,91,203.5,78,203.4,110,13.7,3,1,1.0,0.0,0.0
25,121,0,0,0,181.5,121,218.4,98,161.6,103,8.5,5,1,1.0,0.0,0.0
26,117,0,0,0,102.8,119,206.7,91,299.0,105,10.1,7,1,0.0,1.0,0.0
27,65,0,0,0,187.9,116,157.6,117,227.3,86,7.5,6,1,1.0,0.0,0.0
28,6,0,0,0,183.6,117,256.7,72,178.6,79,10.2,2,1,0.0,0.0,1.0
29,32,0,0,0,230.9,87,187.4,90,154.0,53,6.3,2,0,0.0,0.0,1.0
30,64,0,1,27,182.1,91,169.7,98,164.7,86,10.6,5,2,1.0,0.0,0.0
31,25,0,0,0,119.3,87,211.5,101,268.9,86,10.5,4,3,0.0,1.0,0.0
32,65,0,0,0,116.8,87,178.9,93,182.4,150,14.1,2,1,0.0,1.0,0.0
33,127,0,0,0,202.1,103,229.4,86,195.2,113,11.5,3,2,0.0,1.0,0.0
34,93,0,0,0,271.6,71,229.4,108,77.3,121,10.9,3,2,0.0,1.0,0.0
35,208,0,0,0,326.5,67,176.3,113,181.7,102,10.7,6,2,0.0,0.0,1.0
36,122,0,0,0,243.8,98,83.9,72,179.8,84,13.7,8,2,0.0,1.0,0.0
37,99,0,0,0,241.1,72,155.6,98,188.2,109,11.6,10,1,0.0,1.0,0.0
38,65,0,0,0,136.1,112,272.9,96,220.2,104,4.4,2,1,0.0,1.0,0.0
39,65,0,0,0,213.4,111,234.5,94,250.1,123,2.7,4,1,0.0,1.0,0.0
40,45,0,1,22,196.6,84,313.2,92,163.3,108,11.9,3,0,0.0,1.0,0.0
41,139,0,0,0,134.4,106,211.3,98,193.6,125,10.2,2,5,0.0,0.0,1.0
42,215,0,0,0,83.6,148,120.9,91,226.6,110,10.7,9,0,0.0,0.0,1.0
43,94,0,0,0,181.8,85,202.4,98,245.9,97,9.2,2,4,1.0,0.0,0.0
44,119,0,1,23,154.0,114,278.0,137,228.4,112,11.8,4,2,0.0,0.0,1.0
45,86,0,1,41,119.0,101,230.0,134,236.9,58,9.5,3,0,0.0,0.0,1.0
46,106,0,1,32,165.9,126,216.5,93,173.1,86,14.1,8,4,1.0,0.0,0.0
47,92,1,0,0,62.6,111,180.6,126,221.7,80,10.4,2,1,1.0,0.0,0.0
48,78,0,0,0,168.3,110,221.2,73,241.0,136,12.5,1,1,0.0,0.0,1.0
49,155,0,0,0,262.4,55,194.6,113,146.5,85,8.3,6,2,1.0,0.0,0.0
50,64,0,1,48,94.4,104,136.2,101,147.4,89,4.5,4,0,0.0,0.0,1.0
51,83,0,0,0,221.4,103,231.8,103,122.5,100,9.8,5,3,0.0,1.0,0.0
52,144,0,1,48,189.8,96,123.4,67,214.2,106,6.5,2,2,1.0,0.0,0.0
53,143,0,0,0,172.3,97,174.0,108,188.2,119,13.0,4,2,0.0,1.0,0.0
54,81,0,0,0,198.4,93,210.9,108,193.3,71,10.4,6,2,0.0,1.0,0.0
55,145,0,1,24,147.5,90,175.7,108,252.1,102,15.6,3,2,1.0,0.0,0.0
56,89,0,0,0,303.9,95,260.9,114,312.1,89,5.3,3,1,0.0,0.0,1.0
57,199,0,1,34,230.6,121,219.4,99,299.3,94,8.0,2,0,0.0,1.0,0.0
58,96,0,1,37,172.7,93,120.1,116,216.1,86,10.3,5,5,0.0,1.0,0.0
59,94,0,0,0,181.5,98,199.9,88,287.7,114,6.6,5,1,0.0,1.0,0.0
60,127,0,0,0,266.6,106,264.8,168,207.2,119,5.9,2,1,0.0,1.0,0.0
61,121,0,0,0,170.4,108,350.5,68,297.0,87,11.2,3,0,1.0,0.0,0.0
62,122,0,0,0,296.4,99,214.8,89,133.9,107,11.4,3,4,1.0,0.0,0.0
63,121,0,1,35,68.7,95,209.2,69,197.4,42,11.4,4,1,1.0,0.0,0.0
64,77,0,0,0,233.8,104,266.5,94,212.7,104,7.6,3,2,0.0,0.0,1.0
65,64,1,0,0,236.2,77,218.6,85,194.1,97,13.2,2,2,1.0,0.0,0.0
66,124,1,0,0,244.6,89,188.8,80,206.0,114,11.3,4,1,1.0,0.0,0.0
67,148,0,0,0,124.4,83,179.7,81,253.0,99,11.3,6,0,0.0,1.0,0.0
68,77,0,0,0,230.0,87,103.2,138,309.6,136,11.3,3,2,1.0,0.0,0.0
69,135,0,0,0,201.8,81,225.0,114,204.4,82,10.3,6,1,0.0,1.0,0.0
70,87,0,1,21,214.0,113,180.0,114,134.5,82,10.6,5,0,0.0,1.0,0.0
71,54,0,0,0,210.5,102,204.5,83,127.8,53,8.5,5,1,0.0,0.0,1.0
72,35,0,0,0,105.6,129,258.2,129,213.1,77,8.7,3,0,0.0,1.0,0.0
73,84,0,0,0,138.6,102,199.0,93,204.1,137,7.8,4,0,1.0,0.0,0.0
74,94,0,0,0,234.4,103,279.3,109,234.2,121,2.0,2,1,0.0,1.0,0.0
75,96,0,1,26,145.8,108,192.2,89,165.1,96,9.9,2,1,1.0,0.0,0.0
76,64,0,0,0,97.2,80,186.2,90,189.0,92,10.4,6,2,0.0,1.0,0.0
77,85,0,0,0,259.8,85,242.3,117,168.8,72,5.4,1,0,0.0,1.0,0.0
78,117,0,0,0,239.9,84,174.8,106,209.5,93,9.8,2,0,1.0,0.0,0.0
79,112,0,1,16,221.6,110,130.2,123,200.0,108,11.3,3,1,0.0,1.0,0.0
80,129,1,0,0,192.9,131,185.5,101,205.2,130,10.9,4,1,0.0,0.0,1.0
81,140,0,0,0,173.2,91,196.8,106,209.3,128,11.2,5,3,1.0,0.0,0.0
82,81,0,0,0,153.5,99,197.6,102,198.5,86,6.3,2,2,0.0,1.0,0.0
83,70,0,0,0,59.5,103,257.2,106,208.3,86,11.1,6,0,0.0,0.0,1.0
84,79,0,1,21,264.3,79,202.8,118,173.4,92,6.3,3,4,0.0,0.0,1.0
85,85,0,0,0,127.9,107,271.2,124,202.2,76,12.5,5,0,1.0,0.0,0.0
86,91,0,0,0,149.0,115,245.3,105,260.0,94,8.3,3,0,0.0,0.0,1.0
87,149,0,1,20,198.9,77,274.0,88,190.7,76,14.3,9,1,0.0,1.0,0.0
88,60,0,0,0,98.2,88,180.5,69,223.6,69,9.3,2,2,0.0,1.0,0.0
89,115,0,0,0,147.9,109,228.4,117,299.7,90,9.6,9,3,1.0,0.0,0.0
90,144,0,1,18,106.4,109,108.1,113,208.4,111,10.1,5,1,0.0,1.0,0.0
91,86,0,1,32,70.9,163,166.7,121,244.9,105,11.1,5,3,0.0,1.0,0.0
92,139,0,1,20,214.6,101,235.1,132,162.8,132,14.8,12,0,0.0,1.0,0.0
93,124,0,0,0,151.1,123,187.4,104,255.4,93,5.3,3,1,1.0,0.0,0.0
94,102,1,0,0,233.8,103,221.6,131,146.9,106,12.8,3,0,0.0,0.0,1.0
95,78,0,0,0,208.9,119,252.4,132,280.2,120,12.8,7,0,0.0,1.0,0.0
96,55,1,0,0,191.9,91,256.1,110,203.7,101,14.3,6,1,0.0,1.0,0.0
97,129,0,1,33,119.6,104,278.7,88,263.4,175,5.9,2,2,0.0,1.0,0.0
98,75,1,0,0,211.3,61,105.6,119,175.9,63,9.7,4,4,1.0,0.0,0.0
99,126,0,1,23,114.3,102,190.3,103,240.4,111,12.6,7,3,0.0,1.0,0.0
100,92,0,0,0,154.0,122,329.8,88,288.0,117,5.6,2,3,0.0,1.0,0.0
101,52,0,0,0,214.7,68,158.6,138,123.4,114,9.4,4,2,1.0,0.0,0.0
102,87,0,0,0,231.3,105,171.7,108,67.7,136,13.0,6,1,0.0,0.0,1.0
103,95,0,1,22,40.9,126,133.4,90,264.2,91,11.9,7,0,0.0,1.0,0.0
104,67,0,0,0,310.4,97,66.5,123,246.5,99,9.2,10,4,0.0,0.0,1.0
105,165,0,0,0,216.6,126,190.8,104,224.7,123,12.4,8,0,0.0,1.0,0.0
106,150,0,1,29,209.9,77,158.0,52,141.9,113,6.6,1,0,0.0,1.0,0.0
107,26,0,0,0,234.5,109,216.5,129,191.6,94,3.5,6,3,0.0,1.0,0.0
108,79,0,1,31,103.1,90,243.0,135,76.4,92,12.2,8,3,0.0,0.0,1.0
109,69,1,0,0,279.8,90,248.7,91,171.0,118,8.4,10,2,0.0,0.0,1.0
110,95,1,1,41,136.8,91,200.8,61,133.7,67,10.3,9,5,0.0,0.0,1.0
111,157,0,0,0,224.5,111,200.7,99,116.6,118,11.5,2,2,0.0,1.0,0.0
112,80,0,0,0,160.6,103,237.0,109,245.1,88,10.7,1,1,0.0,1.0,0.0
113,75,0,1,37,121.5,97,271.4,110,248.7,97,11.3,5,2,0.0,0.0,1.0
114,44,0,0,0,228.1,121,276.5,79,279.8,77,9.9,5,2,0.0,0.0,1.0
115,101,0,0,0,89.7,118,260.1,79,170.1,93,13.5,11,5,1.0,0.0,0.0
116,117,0,1,14,80.2,81,219.0,103,122.6,102,8.6,2,1,1.0,0.0,0.0
117,82,0,0,0,125.7,96,207.6,137,183.1,103,12.9,2,1,1.0,0.0,0.0
118,39,0,0,0,160.4,68,102.6,103,235.3,106,9.1,5,2,1.0,0.0,0.0
119,30,0,0,0,169.9,144,225.2,118,169.7,93,11.4,7,1,0.0,1.0,0.0
120,63,0,1,29,142.3,107,118.7,56,240.1,91,6.6,8,1,0.0,1.0,0.0
121,111,0,0,0,146.2,55,261.5,83,163.2,116,8.7,3,3,0.0,1.0,0.0
122,91,0,0,0,231.8,120,150.6,106,269.2,129,11.6,7,3,0.0,0.0,1.0
123,105,1,1,29,220.7,82,217.7,110,190.5,100,13.2,6,1,0.0,1.0,0.0
124,166,1,1,35,128.2,138,274.5,113,298.9,130,8.8,7,2,1.0,0.0,0.0
125,79,0,0,0,130.2,119,290.9,121,194.8,140,14.0,6,3,0.0,0.0,1.0
126,105,0,1,33,209.6,68,146.9,140,121.0,131,10.6,3,2,1.0,0.0,0.0
127,172,0,0,0,215.7,140,146.3,84,264.6,83,7.1,1,3,0.0,1.0,0.0
128,121,0,0,0,150.7,105,197.3,133,169.0,116,9.2,15,1,1.0,0.0,0.0
129,88,0,0,0,161.5,92,173.5,108,206.2,95,7.9,4,2,0.0,1.0,0.0
130,153,0,1,28,235.6,74,227.9,37,170.3,103,15.4,9,0,1.0,0.0,0.0
131,54,0,1,39,206.9,143,127.8,72,199.2,120,9.2,1,3,0.0,1.0,0.0
132,79,0,0,0,157.6,85,194.1,92,231.5,86,9.4,10,5,0.0,0.0,1.0
133,55,0,0,0,175.6,147,161.8,118,289.5,55,9.3,4,0,0.0,1.0,0.0
134,109,0,0,0,264.7,69,305.0,120,197.4,86,9.5,9,1,1.0,0.0,0.0
135,65,0,1,31,282.3,70,152.0,89,225.5,93,12.0,4,1,1.0,0.0,0.0
136,27,0,0,0,193.8,102,118.9,104,135.9,124,9.2,3,0,0.0,0.0,1.0
137,32,0,1,26,266.7,109,232.3,107,212.8,98,16.3,4,1,1.0,0.0,0.0
138,3,0,1,36,118.1,117,221.5,125,103.9,89,11.9,6,2,0.0,1.0,0.0
139,119,0,0,0,176.8,90,224.7,81,204.6,77,7.5,15,1,0.0,1.0,0.0
140,43,0,0,0,241.9,101,129.4,121,264.8,104,5.9,3,1,0.0,1.0,0.0
141,116,0,0,0,189.5,90,189.8,118,205.8,83,13.1,2,1,0.0,0.0,1.0
142,107,0,0,0,123.1,100,158.4,82,256.1,82,9.3,5,0,0.0,1.0,0.0
143,123,0,0,0,159.1,94,241.6,119,202.4,120,6.5,1,1,1.0,0.0,0.0
144,110,0,0,0,100.1,90,233.3,93,204.4,57,11.1,8,3,1.0,0.0,0.0
145,176,0,0,0,223.2,76,214.4,131,154.4,80,10.1,2,3,0.0,1.0,0.0
146,13,0,1,21,315.6,105,208.9,71,260.1,123,12.1,3,3,0.0,0.0,1.0
147,88,0,0,0,189.8,111,197.3,101,234.5,111,14.9,3,2,0.0,1.0,0.0
148,92,0,1,29,155.4,110,188.5,104,254.9,118,8.0,4,3,0.0,0.0,1.0
149,165,0,0,0,154.2,91,268.6,108,188.8,99,10.9,4,6,0.0,0.0,1.0
150,156,0,0,0,178.8,94,178.4,97,169.2,77,7.5,3,1,0.0,1.0,0.0
151,63,0,0,0,149.3,104,273.6,75,206.6,72,9.1,4,0,1.0,0.0,0.0
152,83,1,1,32,94.7,111,154.4,98,200.4,109,10.6,6,2,0.0,1.0,0.0
153,158,0,0,0,222.8,101,203.0,128,210.6,106,6.9,2,2,0.0,1.0,0.0
154,115,1,0,0,249.9,95,242.5,104,151.7,121,15.3,6,1,0.0,0.0,1.0
155,103,0,1,36,87.2,92,169.3,110,166.7,80,10.9,5,6,0.0,0.0,1.0
156,64,0,0,0,224.8,111,190.0,101,221.4,110,9.2,2,1,0.0,1.0,0.0
157,86,0,1,39,261.2,122,214.2,101,154.9,101,12.7,5,2,0.0,0.0,1.0
158,151,0,1,26,196.5,98,175.8,111,221.8,124,13.4,5,0,0.0,1.0,0.0
159,87,1,0,0,167.3,119,198.5,119,133.1,88,11.0,6,1,0.0,0.0,1.0
160,90,0,0,0,109.6,88,137.6,108,159.7,121,11.0,5,2,0.0,1.0,0.0
161,108,0,1,30,276.6,99,220.1,113,177.9,95,9.8,6,2,0.0,0.0,1.0
162,33,0,1,35,186.8,124,261.0,69,317.8,103,15.0,5,0,0.0,1.0,0.0
163,149,1,1,28,126.9,97,166.9,102,145.2,77,8.8,3,5,0.0,1.0,0.0
164,106,0,0,0,169.4,107,197.2,71,202.2,79,10.7,4,1,0.0,0.0,1.0
165,167,1,0,0,219.1,100,242.9,90,168.9,101,10.1,4,2,1.0,0.0,0.0
166,35,0,1,27,241.7,87,142.0,101,288.9,68,9.4,4,1,0.0,0.0,1.0
167,107,0,1,22,281.1,83,143.7,130,239.4,128,11.2,9,1,0.0,1.0,0.0
168,92,1,1,45,281.1,88,198.0,103,94.3,76,7.5,3,0,0.0,1.0,0.0
169,38,0,0,0,137.8,86,286.3,76,167.0,77,14.1,3,2,0.0,1.0,0.0
170,68,1,0,0,148.5,126,219.4,125,198.5,121,14.5,7,1,1.0,0.0,0.0
171,123,0,0,0,194.0,118,242.0,114,146.3,108,12.1,4,1,0.0,0.0,1.0
172,75,0,1,41,130.9,115,203.4,110,171.7,68,12.4,4,1,0.0,0.0,1.0
173,153,0,0,0,185.3,127,208.0,73,206.1,124,15.1,3,1,1.0,0.0,0.0
174,143,0,0,0,119.1,117,287.7,136,223.0,100,12.2,4,0,0.0,1.0,0.0
175,87,0,0,0,322.5,106,204.6,93,186.2,128,9.4,4,2,1.0,0.0,0.0
176,100,0,0,0,216.2,107,215.6,84,138.4,127,10.2,3,0,0.0,0.0,1.0
177,144,0,1,51,283.9,98,192.0,109,196.3,85,10.0,4,1,0.0,1.0,0.0
178,70,0,1,31,125.9,101,196.4,102,252.7,75,10.3,4,1,0.0,1.0,0.0
179,136,1,0,0,199.6,89,211.4,96,72.4,84,11.0,4,3,1.0,0.0,0.0
180,120,0,1,24,212.7,73,257.5,103,227.8,119,9.7,13,2,0.0,1.0,0.0
181,104,0,0,0,183.6,133,120.7,98,215.1,112,12.7,2,1,1.0,0.0,0.0
182,75,0,1,38,163.6,132,146.7,113,345.8,115,13.1,3,3,0.0,0.0,1.0
183,127,1,0,0,180.9,114,209.5,118,249.9,105,7.4,4,2,0.0,0.0,1.0
184,122,0,1,33,270.8,96,220.4,110,169.9,104,11.8,8,4,0.0,0.0,1.0
185,124,0,0,0,178.4,72,233.6,134,179.4,91,12.0,2,0,0.0,1.0,0.0
186,167,1,0,0,244.8,91,60.8,105,176.7,110,10.7,3,2,0.0,1.0,0.0
187,89,0,1,32,209.9,113,249.8,104,224.2,92,8.7,7,1,0.0,1.0,0.0
188,73,0,0,0,213.0,95,188.8,104,136.2,89,13.5,3,0,1.0,0.0,0.0
189,1,0,0,0,144.8,107,112.5,66,218.7,79,13.8,3,1,0.0,1.0,0.0
190,60,0,0,0,135.4,134,205.9,85,204.0,103,7.9,4,1,1.0,0.0,0.0
191,77,0,0,0,67.7,68,195.7,86,236.5,137,12.0,2,1,0.0,0.0,1.0
192,76,0,0,0,224.4,121,147.9,97,183.8,74,6.7,2,2,0.0,1.0,0.0
193,63,0,0,0,153.5,81,287.3,115,230.2,85,6.5,5,2,0.0,0.0,1.0
194,150,0,1,28,174.4,75,169.9,80,201.6,130,11.0,4,1,0.0,1.0,0.0
195,101,0,0,0,153.8,89,234.0,89,196.3,77,11.6,2,4,0.0,1.0,0.0
196,132,0,1,39,175.7,93,187.2,94,225.5,118,8.6,3,2,0.0,1.0,0.0
197,158,0,0,0,155.9,123,224.2,112,221.0,116,8.6,8,2,0.0,0.0,1.0
198,114,0,1,34,154.4,109,221.4,142,208.5,103,10.3,5,0,0.0,1.0,0.0
199,77,0,1,23,209.7,73,183.6,63,205.5,111,7.1,3,2,0.0,1.0,0.0
200,107,0,0,0,212.1,95,150.1,88,219.8,111,7.7,2,3,0.0,1.0,0.0
201,48,0,1,22,152.0,63,258.8,131,263.2,109,15.7,5,2,0.0,0.0,1.0
202,59,0,0,0,160.9,95,251.2,65,273.4,97,5.0,5,3,0.0,1.0,0.0
203,129,0,0,0,334.3,118,192.1,104,191.0,83,10.4,6,0,0.0,0.0,1.0
204,50,0,0,0,188.9,94,203.9,104,151.8,124,11.6,8,3,0.0,0.0,1.0
205,50,0,1,35,192.6,97,135.2,101,216.2,101,7.9,2,2,0.0,1.0,0.0
206,116,0,0,0,217.3,91,216.1,95,148.1,76,11.3,3,2,0.0,1.0,0.0
207,52,0,1,38,169.3,88,225.9,97,172.0,86,8.2,3,0,0.0,0.0,1.0
208,12,1,0,0,216.7,117,116.5,126,220.0,110,9.8,4,2,0.0,0.0,1.0
209,105,0,0,0,246.4,83,256.2,101,169.0,151,3.8,4,0,0.0,0.0,1.0
210,104,0,0,0,156.2,93,193.0,54,222.7,94,13.1,5,1,0.0,1.0,0.0
211,13,0,0,0,146.4,74,148.5,92,216.7,96,11.3,3,1,0.0,1.0,0.0
212,67,0,0,0,167.8,91,167.7,69,110.3,71,8.4,12,1,1.0,0.0,0.0
213,148,0,1,11,252.9,129,284.3,88,262.8,99,12.3,1,1,0.0,1.0,0.0
214,116,0,0,0,201.8,82,231.5,95,226.1,130,16.5,5,0,0.0,0.0,1.0
215,131,0,0,0,94.4,80,215.1,101,179.7,108,13.1,9,2,1.0,0.0,0.0
216,119,0,0,0,190.4,74,215.6,113,161.2,111,10.0,1,2,0.0,0.0,1.0
217,94,1,0,0,243.2,109,147.0,88,94.9,99,7.2,4,4,0.0,0.0,1.0
218,217,0,0,0,176.4,115,158.8,128,306.6,107,9.3,3,4,1.0,0.0,0.0
219,161,0,0,0,178.1,109,146.5,86,137.6,78,8.5,2,1,0.0,1.0,0.0
